Mois;Essonne 91;Eure-et-Loir 28;Hauts-de-Seine 92;Paris 75;Seine-et-Marne 77;Seine-Saint-Denis 93;Val-d'Oise 95;Val-de-Marne 94;Yvelines 78;Total
Février 2015; 92 160;  0; 123 190; 217 070; 105 850; 172 090; 108 570; 112 330; 98 600;1 029 870
Mars 2015; 92 560;  0; 123 500; 216 910; 105 540; 172 460; 108 780; 112 470; 98 730;1 030 940
Avril 2015; 92 470;  0; 123 730; 216 950; 105 430; 172 850; 108 490; 112 860; 98 550;1 031 320
Mai 2015; 92 230;  0; 123 430; 216 860; 105 190; 172 610; 108 210; 112 730; 98 480;1 029 730
Juin 2015; 91 930;  0; 122 800; 215 110; 104 510; 172 020; 107 480; 112 170; 98 110;1 024 120
Juillet 2015; 91 790;  0; 122 860; 214 480; 104 550; 170 790; 107 280; 111 870; 98 460;1 022 070
Août 2015; 92 890;  0; 124 260; 215 500; 105 400; 171 270; 108 520; 112 840; 99 870;1 030 540
Septembre 2015; 95 580;  0; 127 210; 219 230; 108 390; 175 200; 111 470; 115 750; 102 620;1 055 440
Octobre 2015; 96 680;  0; 128 410; 221 260; 109 420; 177 270; 112 810; 117 010; 103 460;1 066 310
Novembre 2015; 96 970;  0; 128 210; 221 060; 109 530; 178 140; 112 700; 117 140; 103 190;1 066 940
Décembre 2015; 96 950;  0; 128 370; 221 470; 109 870; 178 640; 112 880; 117 690; 103 430;1 069 310
Janvier 2016; 97 830;  0; 128 800; 222 350; 110 560; 180 420; 113 570; 118 490; 103 870;1 075 900
